original_language,budget,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
en,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,40000000,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,95000000,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,46000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,18000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
en,3768785,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
fr,4600000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,30000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
en,40000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
en,90000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,28000000,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,14000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,94000000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,2000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,40000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
en,13000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,30000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,7000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,25000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,30000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
en,24000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,15000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,400000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
en,55000000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,50000000,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,27500000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
zh,17000000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,30000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,18000000,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
en,25000000,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
en,6000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
en,30000000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
en,10000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,150000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
en,35000000,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
en,1000000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
th,6000000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,110000000,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
en,5000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
en,4500000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
en,60000000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
en,20000000,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
en,20000000,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,20000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,44000000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
en,37000000,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
zh,30000000,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
en,24000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,24000000,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
en,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
en,6000000,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
en,75000000,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0
en,15000000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
en,2000000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
